chart_date,rank,title,artist,weeks_on_chart,peak_position,last_position,is_new,year,artist_list
2016-01-02,1.0,Hello,Adele,8.0,1.0,1.0,False,2016.0,['Adele']
2016-01-09,1.0,Hello,Adele,9.0,1.0,1.0,False,2016.0,['Adele']
2016-01-16,1.0,Hello,Adele,10.0,1.0,1.0,False,2016.0,['Adele']
2016-01-23,2.0,Hello,Adele,11.0,1.0,1.0,False,2016.0,['Adele']
2016-01-30,2.0,Hello,Adele,12.0,1.0,2.0,False,2016.0,['Adele']
2016-02-06,3.0,Hello,Adele,13.0,1.0,2.0,False,2016.0,['Adele']
2016-02-13,4.0,Hello,Adele,14.0,1.0,3.0,False,2016.0,['Adele']
2016-02-20,5.0,Hello,Adele,15.0,1.0,4.0,False,2016.0,['Adele']
2016-02-27,6.0,Hello,Adele,16.0,1.0,5.0,False,2016.0,['Adele']
2016-03-05,7.0,Hello,Adele,17.0,1.0,6.0,False,2016.0,['Adele']
2016-03-12,8.0,Hello,Adele,18.0,1.0,7.0,False,2016.0,['Adele']
2016-03-19,11.0,Hello,Adele,19.0,1.0,8.0,False,2016.0,['Adele']
2016-03-26,12.0,Hello,Adele,20.0,1.0,11.0,False,2016.0,['Adele']
2016-04-02,16.0,Hello,Adele,21.0,1.0,12.0,False,2016.0,['Adele']
2016-04-09,19.0,Hello,Adele,22.0,1.0,16.0,False,2016.0,['Adele']
2016-04-16,19.0,Hello,Adele,23.0,1.0,19.0,False,2016.0,['Adele']
2016-04-23,25.0,Hello,Adele,24.0,1.0,19.0,False,2016.0,['Adele']
2016-04-30,27.0,Hello,Adele,25.0,1.0,25.0,False,2016.0,['Adele']
2016-05-07,36.0,Hello,Adele,26.0,1.0,27.0,False,2016.0,['Adele']
2016-01-02,2.0,Sorry,Justin Bieber,8.0,2.0,2.0,False,2016.0,['Justin Bieber']
2016-01-09,2.0,Sorry,Justin Bieber,9.0,2.0,2.0,False,2016.0,['Justin Bieber']
2016-01-16,2.0,Sorry,Justin Bieber,10.0,2.0,2.0,False,2016.0,['Justin Bieber']
2016-01-23,1.0,Sorry,Justin Bieber,11.0,1.0,2.0,False,2016.0,['Justin Bieber']
2016-01-30,1.0,Sorry,Justin Bieber,12.0,1.0,1.0,False,2016.0,['Justin Bieber']
2016-02-06,1.0,Sorry,Justin Bieber,13.0,1.0,1.0,False,2016.0,['Justin Bieber']
2016-02-13,2.0,Sorry,Justin Bieber,14.0,1.0,1.0,False,2016.0,['Justin Bieber']
2016-02-20,3.0,Sorry,Justin Bieber,15.0,1.0,2.0,False,2016.0,['Justin Bieber']
2016-02-27,3.0,Sorry,Justin Bieber,16.0,1.0,3.0,False,2016.0,['Justin Bieber']
2016-03-05,4.0,Sorry,Justin Bieber,17.0,1.0,3.0,False,2016.0,['Justin Bieber']
2016-03-12,4.0,Sorry,Justin Bieber,18.0,1.0,4.0,False,2016.0,['Justin Bieber']
2016-03-19,5.0,Sorry,Justin Bieber,19.0,1.0,4.0,False,2016.0,['Justin Bieber']
2016-03-26,8.0,Sorry,Justin Bieber,20.0,1.0,5.0,False,2016.0,['Justin Bieber']
2016-04-02,8.0,Sorry,Justin Bieber,21.0,1.0,8.0,False,2016.0,['Justin Bieber']
2016-04-09,11.0,Sorry,Justin Bieber,22.0,1.0,8.0,False,2016.0,['Justin Bieber']
2016-04-16,13.0,Sorry,Justin Bieber,23.0,1.0,11.0,False,2016.0,['Justin Bieber']
2016-04-23,14.0,Sorry,Justin Bieber,24.0,1.0,13.0,False,2016.0,['Justin Bieber']
2016-04-30,16.0,Sorry,Justin Bieber,25.0,1.0,14.0,False,2016.0,['Justin Bieber']
2016-05-07,21.0,Sorry,Justin Bieber,26.0,1.0,16.0,False,2016.0,['Justin Bieber']
2016-05-14,31.0,Sorry,Justin Bieber,27.0,1.0,21.0,False,2016.0,['Justin Bieber']
2016-05-21,27.0,Sorry,Justin Bieber,28.0,1.0,31.0,False,2016.0,['Justin Bieber']
2016-05-28,24.0,Sorry,Justin Bieber,29.0,1.0,27.0,False,2016.0,['Justin Bieber']
2016-06-04,29.0,Sorry,Justin Bieber,30.0,1.0,24.0,False,2016.0,['Justin Bieber']
2016-06-11,33.0,Sorry,Justin Bieber,31.0,1.0,29.0,False,2016.0,['Justin Bieber']
