chart_date,rank,title,artist,weeks_on_chart,peak_position,last_position,is_new
2016-01-02,1,Hello,Adele,8,1,1,False
2016-01-02,2,Sorry,Justin Bieber,8,2,2,False
2016-01-02,3,Hotline Bling,Drake,20,2,3,False
2016-01-02,4,Love Yourself,Justin Bieber,5,4,5,False
2016-01-02,5,What Do You Mean?,Justin Bieber,16,1,4,False
2016-01-02,6,Same Old Love,Selena Gomez,14,6,9,False
2016-01-02,7,The Hills,The Weeknd,30,1,6,False
2016-01-02,8,Here,Alessia Cara,20,8,8,False
2016-01-02,9,Stitches,Shawn Mendes,30,4,7,False
2016-01-02,10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,24,8,10,False
2016-01-02,11,679,Fetty Wap Featuring Remy Boyz,25,4,11,False
2016-01-02,12,In The Night,The Weeknd,6,12,19,False
2016-01-02,13,Jumpman,Drake & Future,13,12,14,False
2016-01-02,14,On My Mind,Ellie Goulding,13,13,13,False
2016-01-02,15,Can't Feel My Face,The Weeknd,28,1,15,False
2016-01-02,16,Antidote,Travis Scott,15,16,16,False
2016-01-02,17,Ex's & Oh's,Elle King,24,10,12,False
2016-01-02,18,All I Want For Christmas Is You,Mariah Carey,13,18,22,False
2016-01-02,19,Stressed Out,Twenty One Pilots,13,19,28,False
2016-01-02,20,Don't,Bryson Tiller,12,20,20,False
2016-01-02,21,Die A Happy Man,Thomas Rhett,13,21,25,False
2016-01-02,22,White Iverson,Post Malone,15,22,23,False
2016-01-02,23,Wildest Dreams,Taylor Swift,17,5,18,False
2016-01-02,24,Mary Did You Know,Jordan Smith,1,24,0,True
2016-01-02,25,Lean On,Major Lazer X DJ Snake Featuring Mo,37,4,17,False
2016-01-02,26,Roses,The Chainsmokers Featuring ROZES,9,26,29,False
2016-01-02,27,Watch Me,Silento,43,3,26,False
2016-01-02,28,Say It,Tory Lanez,9,28,30,False
2016-01-02,29,Burning House,Cam,23,29,47,False
2016-01-02,30,Confident,Demi Lovato,11,21,31,False
2016-01-02,31,Trap Queen,Fetty Wap,48,2,27,False
2016-01-02,32,Perfect,One Direction,9,10,32,False
2016-01-02,33,Focus,Ariana Grande,7,7,24,False
2016-01-02,34,Break Up In A Small Town,Sam Hunt,11,32,34,False
2016-01-02,35,Where Ya At,Future Featuring Drake,22,28,35,False
2016-01-02,36,No Role Modelz,J. Cole,18,36,37,False
2016-01-02,37,Locked Away,R. City Featuring Adam Levine,22,6,33,False
2016-01-02,38,Rockin' Around The Christmas Tree,Brenda Lee,14,14,44,False
2016-01-02,39,Where Are U Now,Skrillex & Diplo With Justin Bieber,42,8,38,False
2016-01-02,40,"Me, Myself & I",G-Eazy x Bebe Rexha,7,36,36,False
2016-01-02,41,Hide Away,Daya,13,41,48,False
2016-01-02,42,See You Again,Wiz Khalifa Featuring Charlie Puth,41,1,41,False
2016-01-02,43,Good For You,Selena Gomez Featuring A$AP Rocky,26,5,40,False
2016-01-02,44,Adventure Of A Lifetime,Coldplay,6,39,39,False
2016-01-02,45,Again,Fetty Wap,19,33,42,False
2016-01-02,46,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,5,46,52,False
2016-01-02,47,Cake By The Ocean,DNCE,9,47,63,False
2016-01-02,48,Exchange,Bryson Tiller,8,48,53,False
2016-01-02,49,Cheerleader,OMI,35,1,43,False
2016-01-02,50,Drag Me Down,One Direction,20,3,46,False
2016-01-02,51,My House,Flo Rida,6,51,55,False
2016-01-02,52,Hit The Quan,iLoveMemphis,18,15,45,False
2016-01-02,53,Back Up,DeJ Loaf Featuring Big Sean,11,47,49,False
2016-01-02,54,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,6,22,57,False
2016-01-02,55,When We Were Young,Adele,4,22,78,False
2016-01-02,56,Burning House,Emily Ann Roberts,1,56,0,True
2016-01-02,57,Down In The DM,Yo Gotti Featuring Nicki Minaj,3,57,68,False
2016-01-02,58,Stay A Little Longer,Brothers Osborne,11,58,59,False
2016-01-02,59,I'll Show You,Justin Bieber,7,19,51,False
2016-01-02,60,One Call Away,Charlie Puth,3,60,75,False
2016-01-02,61,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,4,61,67,False
2016-01-02,62,Hands To Myself,Selena Gomez,2,62,77,False
2016-01-02,63,Gonna,Blake Shelton,14,54,54,False
2016-01-02,64,Back To Sleep,Chris Brown,1,64,0,True
2016-01-02,65,The Fix,Nelly Featuring Jeremih,12,62,62,False
2016-01-02,66,Gonna Know We Were Here,Jason Aldean,10,62,65,False
2016-01-02,67,Used To Love You,Gwen Stefani,5,52,56,False
2016-01-02,68,Do It Like Me,DLOW,6,45,60,False
2016-01-02,69,You Should Be Here,Cole Swindell,1,69,0,True
2016-01-02,70,Big Rings,Drake & Future,13,52,64,False
2016-01-02,71,I Got The Boy,Jana Kramer,10,71,71,False
2016-01-02,72,Climb Every Mountain,Jordan Smith,1,72,0,True
2016-01-02,73,I Love This Life,LoCash,8,73,74,False
2016-01-02,74,Back To Back,Drake,20,21,66,False
2016-01-02,75,Lay It All On Me,Rudimental Featuring Ed Sheeran,11,48,58,False
2016-01-02,76,Top Of The World,Tim McGraw,10,73,73,False
2016-01-02,77,Stand By You,Rachel Platten,5,61,61,False
2016-01-02,78,Best Friend,Young Thug,4,72,72,False
2016-01-02,79,Irresistible,Fall Out Boy,5,77,84,False
2016-01-02,80,New Americana,Halsey,12,80,82,False
2016-01-02,81,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,8,71,87,False
2016-01-02,82,The Feeling,Justin Bieber Featuring Halsey,5,31,70,False
2016-01-02,83,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,14,63,81,False
2016-01-02,84,Come Get Her,Rae Sremmurd,14,56,79,False
2016-01-02,85,Nothin' Like You,Dan + Shay,19,51,69,False
2016-01-02,86,Good To Be Alive (Hallelujah),Andy Grammer,1,86,0,True
2016-01-02,87,Dibs,Kelsea Ballerini,7,86,86,False
2016-01-02,88,Strip It Down,Luke Bryan,20,30,80,False
