chart_date,rank,title,artist,weeks_on_chart,peak_position,last_position,is_new
2018-06-23,1,Nice For What,Drake,10,1,2,False
2018-06-23,2,Psycho,Post Malone Featuring Ty Dolla $ign,16,1,1,False
2018-06-23,3,I Like It,"Cardi B, Bad Bunny & J Balvin",10,3,3,False
2018-06-23,4,God's Plan,Drake,21,1,5,False
2018-06-23,5,Girls Like You,Maroon 5 Featuring Cardi B,3,4,4,False
2018-06-23,6,Lucid Dreams,Juice WRLD,5,6,9,False
2018-06-23,7,Boo'd Up,Ella Mai,11,6,6,False
2018-06-23,8,The Middle,"Zedd, Maren Morris & Grey",20,5,10,False
2018-06-23,9,No Tears Left To Cry,Ariana Grande,8,3,13,False
2018-06-23,10,Meant To Be,Bebe Rexha & Florida Georgia Line,34,2,12,False
2018-06-23,11,Yes Indeed,Lil Baby & Drake,5,6,15,False
2018-06-23,12,This Is America,Childish Gambino,6,1,7,False
2018-06-23,13,Friends,Marshmello & Anne-Marie,18,11,14,False
2018-06-23,14,Walk It Talk It,Migos Featuring Drake,20,10,17,False
2018-06-23,15,Mine,Bazzi,21,11,23,False
2018-06-23,16,In My Blood,Shawn Mendes,13,11,20,False
2018-06-23,17,Perfect,Ed Sheeran,42,1,21,False
2018-06-23,18,Look Alive,BlocBoy JB Featuring Drake,18,5,19,False
2018-06-23,19,Never Be The Same,Camila Cabello,26,6,18,False
2018-06-23,20,Better Now,Post Malone,7,7,34,False
2018-06-23,21,Whatever It Takes,Imagine Dragons,20,12,22,False
2018-06-23,22,Back To You,Selena Gomez,5,22,31,False
2018-06-23,23,Be Careful,Cardi B,11,11,25,False
2018-06-23,24,Rockstar,Post Malone Featuring 21 Savage,39,1,29,False
2018-06-23,25,Delicate,Taylor Swift,14,25,37,False
2018-06-23,26,Heaven,Kane Brown,25,15,30,False
2018-06-23,27,Havana,Camila Cabello Featuring Young Thug,44,1,33,False
2018-06-23,28,I'm Upset,Drake,3,19,32,False
2018-06-23,29,Wait,Maroon 5,22,24,26,False
2018-06-23,30,One Kiss,Calvin Harris & Dua Lipa,10,30,38,False
2018-06-23,31,All Mine,Kanye West,2,11,11,False
2018-06-23,32,Tequila,Dan + Shay,14,32,41,False
2018-06-23,33,Plug Walk,Rich The Kid,18,13,35,False
2018-06-23,34,Love Lies,Khalid & Normani,17,34,42,False
2018-06-23,35,New Rules,Dua Lipa,46,6,40,False
2018-06-23,36,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",8,36,43,False
2018-06-23,37,Freaky Friday,Lil Dicky Featuring Chris Brown,13,8,39,False
2018-06-23,38,Taste,Tyga Featuring Offset,3,38,59,False
2018-06-23,39,Reborn,KIDS SEE GHOSTS,1,39,0,True
2018-06-23,40,Yikes,Kanye West,2,8,8,False
2018-06-23,41,All Girls Are The Same,Juice WRLD,5,41,49,False
