artist,title,artist_list,total_weeks,peak_rank,debut_rank,peak_week,rise_rate
2 Chainz,Watch Out,['2 Chainz'],11,64.0,85.0,4,5.25
2 Chainz Featuring Travis Scott,4 AM,"['2 Chainz', 'Travis Scott']",12,55.0,73.0,2,9.0
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,"['2 Chainz', 'Ty Dolla $ign', 'Trey Songz', 'Jhene Aiko']",20,44.0,95.0,10,5.1
21 Savage,A Lot,['21 Savage'],23,12.0,37.0,6,4.166666666666667
21 Savage,Bank Account,['21 Savage'],28,12.0,33.0,4,5.25
21 Savage,Red Opps,['21 Savage'],5,74.0,92.0,3,6.0
21 Savage & Metro Boomin,My Choppa Hate N****s,"['21 Savage', 'Metro Boomin']",2,73.0,94.0,1,21.0
21 Savage & Metro Boomin,No Heart,"['21 Savage', 'Metro Boomin']",19,43.0,85.0,9,4.666666666666667
21 Savage & Metro Boomin Featuring Future,X,"['21 Savage', 'Metro Boomin', 'Future']",21,36.0,98.0,9,6.888888888888889
"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,"['21 Savage', 'Offset', 'Metro Boomin', 'Quavo']",3,64.0,74.0,1,10.0
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,"['21 Savage', 'Offset', 'Metro Boomin', 'Travis Scott']",7,35.0,57.0,1,22.0
24kGoldn Featuring iann dior,Mood,"['24kGoldn', 'iann dior']",52,1.0,84.0,9,9.222222222222221
4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,"[""4*TOWN (From Disney And Pixar's Turning Red)""]",5,49.0,50.0,1,1.0
4batz Featuring Drake,Act II: Date @ 8,"['4batz', 'Drake']",20,7.0,77.0,9,7.777777777777778
5 Seconds of Summer,Complete Mess,['5 Seconds of Summer'],3,85.0,91.0,1,6.0
5 Seconds of Summer,Youngblood,['5 Seconds of Summer'],48,7.0,96.0,18,4.944444444444445
6ix9ine,Billy,['6ix9ine'],8,50.0,60.0,2,5.0
6ix9ine,Gummo,['6ix9ine'],19,12.0,58.0,4,11.5
6ix9ine Featuring A Boogie wit da Hoodie,WAKA,"['6ix9ine', 'A Boogie wit da Hoodie']",3,51.0,71.0,1,20.0
6ix9ine Featuring Lil Baby,TIC TOC,"['6ix9ine', 'Lil Baby']",3,53.0,62.0,1,9.0
6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,"['6ix9ine', 'Nicki Minaj', 'Kanye West']",4,43.0,58.0,1,15.0
6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,"['6ix9ine', 'Nicki Minaj', 'Murda Beatz']",20,3.0,4.0,1,1.0
"6ix9ine, Fetty Wap & A Boogie wit da Hoodie",KEKE,"['6ix9ine', 'Fetty Wap', 'A Boogie wit da Hoodie']",8,43.0,64.0,1,21.0
A Boogie wit da Hoodie,Look Back At It,['A Boogie wit da Hoodie'],31,27.0,95.0,21,3.238095238095238
A Boogie wit da Hoodie Featuring 6ix9ine,Swervin,"['A Boogie wit da Hoodie', '6ix9ine']",20,38.0,57.0,1,19.0
